ปีที่เกิดเหตุ,สายทางหน่วยงาน,รหัสสายทาง,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,LATITUDE,LONGITUDE,ผู้เสียชีวิต,รวมจำนวนผู้บาดเจ็บ
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ความเมื่อยล้า,14.01719613,100.4521257,0,5
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.04449531,100.6984064,0,0
2023,ทางหลวง,352,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,หลับใน,14.1062734,100.7472234,0,1
2023,ทางหลวง,346,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางลอด+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.98459593,100.592851,1,0
2023,ทางหลวง,346,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งปกติ+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.98459593,100.592851,0,2
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.97645511,100.7130714,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.15451131,100.6562059,0,1
2023,ทางหลวง,9,ปทุมธานี,อื่นๆ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.15291573,100.6570762,0,0
2023,ทางหลวง,352,ปทุมธานี,อื่นๆ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.0495699,100.748146,0,0
2023,ทางหลวง,3214,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.06658419,100.6821924,0,0
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางแยกต่างระดับ / Ramps+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.93773387,100.7093337,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งปกติ+ที่ราบ,ความเมื่อยล้า,14.00585053,100.4522242,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.95092672,100.7127616,0,1
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.97097589,100.7131089,0,0
2023,ทางหลวง,345,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,สถานี/จุดขึ้นลงระบบขนส่งสาธารณะ+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.95779227,100.4996949,1,1
2023,ทางหลวงชนบท,ปท.3004,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ไม่คุ้นเคยเส้นทาง/ขับรถไม่ชำนาญ,13.964378,100.746476,1,3
2023,ทางหลวง,9,ปทุมธานี,รถตู้,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.98007949,100.7133128,0,0
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ยางรถยนต์ชำรุด,14.02030685,100.6993961,0,0
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.14584796,100.6612323,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ยางรถยนต์ชำรุด,14.15138646,100.6579573,0,0
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุก 6 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.06258522,100.6969325,0,1
2023,ทางหลวง,1,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,เบรคชำรุด,13.98832489,100.6156307,0,1
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.14427183,100.6621805,0,0
2023,ทางหลวง,352,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,มีการตัดหน้าระยะกระชั้นชิด,14.02393964,100.748722,0,0
2023,ทางหลวง,9,ปทุมธานี,รถโดยสารขนาดใหญ่,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.97463184,100.7132068,0,0
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.01423039,100.7020783,0,0
2023,ทางหลวง,9,ปทุมธานี,อื่นๆ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.04103198,100.6984828,0,0
2023,ทางหลวง,9,ปทุมธานี,อื่นๆ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.15566736,100.6555299,0,0
2023,ทางหลวง,9,ปทุมธานี,อื่นๆ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.06898952,100.6962861,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.01096829,100.7037896,0,0
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.04812381,100.6982173,0,1
2023,ทางหลวง,9,ปทุมธานี,รถจักรยานยนต์,ทางตรง+ที่ราบ,มีการตัดหน้าระยะกระชั้นชิด,13.93680712,100.7091084,1,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.94647409,100.7119033,0,0
2023,ทางหลวง,352,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.05026183,100.7479332,0,0
2023,ทางหลวง,38,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,มีการตัดหน้าระยะกระชั้นชิด,13.96293492,100.6199599,0,1
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.98739183,100.7133262,0,0
2023,ทางหลวง,9,ปทุมธานี,รถตู้,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.06536525,100.6966509,0,1
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,เครื่องยนต์ขัดข้อง,14.02441325,100.6981918,0,1
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.02992998,100.6981274,0,1
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.95003776,100.7127093,0,1
2023,ทางหลวงชนบท,ปท.3004,ปทุมธานี,รถจักรยาน,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,13.957528,100.746504,1,0
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.04357419,100.698401,0,0
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.93154719,100.7076868,0,2
2023,ทางหลวง,9,ปทุมธานี,อื่นๆ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.93269525,100.7082823,0,0
2023,ทางหลวง,3214,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.06585108,100.6602408,0,2
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.13393694,100.6678279,0,1
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุก 6 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.00093187,100.7082166,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ยางรถยนต์ชำรุด,14.03261673,100.6981798,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ยางรถยนต์ชำรุด,14.05630693,100.6975722,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางแยกรูปตัว ++ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.93675766,100.7093579,0,0
2023,ทางหลวง,352,ปทุมธานี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),สะพาน+บนช่วงลาดชัน,ขับรถเร็วเกินอัตราที่กำหนด,14.20616336,100.7448488,0,1
2023,ทางหลวง,352,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.036727,100.749139,0,1
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.16011332,100.6530476,0,1
2023,ทางหลวง,3214,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.06570274,100.6547548,0,1
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.92977824,100.707251,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.06173442,100.6970385,0,0
2023,ทางหลวง,9,ปทุมธานี,อื่นๆ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.05901418,100.6973134,0,0
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.10802859,100.5321859,0,1
2023,ทางหลวง,3111,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ปัญหาทางสายตา,14.03509618,100.5253,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.9279585,100.7070109,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.91834804,100.704145,0,0
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.95097357,100.7125524,0,6
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.06455089,100.6967461,0,0
2023,ทางหลวง,9,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.92622727,100.7063471,0,0
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุกมากกว่า 10 ล้อ (รถพ่วง),ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.09343688,100.6906267,0,2
2023,ทางหลวง,346,ปทุมธานี,รถจักรยานยนต์,สะพาน+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.98605368,100.6019301,1,0
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุก 6 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.9933623,100.7114902,0,0
2023,ทางหลวง,9,ปทุมธานี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,14.10371378,100.6848706,0,0
2023,ทางหลวง,9,ปทุมธานี,รถบรรทุก 6 ล้อ,ทางตรง+ที่ราบ,ขับรถเร็วเกินอัตราที่กำหนด,13.97099437,100.7129453,0,0
